Article_id,Article_name,Infos
52,52 SALAHIYYA MINARET,"Before 820/1417-18
Minaret of the Salahiyya Khanqah
Modern name: Salahiyya Minaret
"
53,53 AL-BASITIYYA,"Endowed in 834/1431
Madrasa or Khanqah of ‘Abd al-Basit
Modern name: part of Madrasa al-Bakriyya
"
54,54 AL-GHADIRIYYA,"836/1432
Madrasa of Muhammad b. Dhulghadir
Modern name: not known (used as storeroom)
"
55,55 AL-HASANIYYA,"837/1434
Madrasa of Husam al-Din al-Hasan
Modern name: Dar Nir al-Din
"
56,56 WELL OF IBRAHIM AL-RUMI,"839/1435-36
Well-house for distributing water to the poor
Modern name: Sabil ‘Ala’ al-Din al-Basiri
"
57,57 AL-‘UTHMANIYYA,"840/1437
Madrasa and tomb of Isfahan Shah Khatin
Modern name: Dar al-Fityani
"
58,58 AL-JAWHARIYYA,"Madrasa and ribat and/or khangah of Jawhar al-Qunugqbayi
Modern names: (i) Dar al-Khatib
(ii) Da@irat al-athar al-islamiyya/Department of
Islamic Archaeology
"
59,59 MINARET OF JAMI‘ ‘UMAR’,"Rebuilt before 870/1465
Minaret of the Masjid of al-Afdal ‘Ali (‘Jami‘ ‘Umar’)
Modern name: Minaret of Masjid ‘Umar b. al-Khattab
"
60,60 SOUTH-WEST QANATIR,"877/1472
South-west colonnade of the Dome of the Rock terrace
Modern name: Mawazin Bab al-Silsila
"
61,61 RIBAT AL-ZAMANI,"881/1476-77
Pilgrim hospice of Ibn al-Zamin
Modern name: not known
"
62,62 AL-MUZHIRIYYA,"885/1480-81
Madrasa of Abt Bakr b. Muzhir
Modern name: Dar al-Sha‘bani
"
63,63 AL-ASHRAFTIYYA,"Madrasa of Sultan Qaytbay

Modern names:

Ground floor: Maktabat al-Masjid al-Aqsa/Aqsa Mosque Library
Upper floor: Dar al-Fityani, and others not known
"
64,64 SABIL QAYTBAY,"887/1482
Public fountain of Sultan Qaytbay
Modern name: Sabil Qaytbay
"
